gudClssCd,routeCd,routeNm,rprsTelNo,svarAddr,svarCd,svarNm,sliced_rest,wifi,satisfaction,electric_car,nursing_room,pharmacy,Braile_block,pet,latitude,longitude,hdqrCd
1,10,경부선,00000000000,경상북도 구미시 도량동 472-4 선기졸음쉼터(부산방향),537,선기(부산)졸음쉼터,선기(부산)졸음쉼터,False,,False,False,False,False,False,,,600000
0,10,경부선,00000000000,경상북도 구미시 도량동 333-2 선기졸음쉼터(서울방향),536,선기(서울)졸음쉼터,선기(서울)졸음쉼터,False,,False,False,False,False,False,,,600000
1,10,경부선,0420000000,대전 대덕구 상서동 산 66-11 경부노선 신탄진졸음쉼터(부산방향),571,신탄진(부산)졸음쉼터,신탄진(부산)졸음쉼터,False,,False,False,False,False,False,,,400000
0,10,경부선,0429342442,대전시 대덕구 상서동 236-1,28,신탄진(서울)휴게소,신탄진(서울),True,,True,True,False,True,True,36.426834,127.418438,400000
1,10,경부선,0316550531,경기 안성시 원곡면 경부고속도로 365,9,안성(부산)휴게소,안성(부산),True,,True,True,False,True,False,37.013407,127.1448001,200000
0,10,경부선,0316115793,경기 안성시 원곡면 산하리(경부고속도로 372),7,안성(서울)휴게소,안성(서울),True,1.0,True,True,False,True,False,37.076681,127.132496,200000
0,10,경부선,0553840144,경남 양산시 동면 내송리 788번지,62,양산(서울)휴게소,양산(서울),True,,True,True,False,True,False,35.323172,129.056867,700000
1,10,경부선,0522636147,울산광역시 울주군 언양읍 태기리 684-1,59,언양(부산)휴게소,언양(부산),False,,False,False,False,False,False,,,700000
0,10,경부선,0522636153,울산광역시 울주군 언양읍 반곡리 966-14,57,언양(서울)휴게소,언양(서울),True,2.0,True,True,False,True,False,35.597942,129.141801,700000
1,10,경부선,00000000000,충남 천안시 서북구 입장면 연곡리 243-5,535,연곡(부산)졸음쉼터,연곡(부산)졸음쉼터,False,,False,False,False,False,False,,,400000
1,10,경부선,0310000000,경기도 오산시 동부대로568번길 57(오산졸음쉼터 부산방향),562,오산(부산)졸음쉼터,오산(부산)졸음쉼터,False,,False,False,False,False,False,,,200000
0,10,경부선,0310000000,경기 오산시 부산동 442-5 경부고속도로 오산졸음쉼터,450,오산졸음쉼터(서울),오산졸음쉼터(서울),False,,False,False,False,False,False,,,200000
1,10,경부선,0432601053,충북 청원군 옥산면 오산리 589-15,21,옥산(부산)휴게소,옥산(부산),True,,True,True,False,True,False,36.657743,127.369817,400000
1,10,경부선,0437318521,충북 옥천군 옥천읍 매화리 236-16,30,옥천(부산)휴게소,옥천(부산),True,,True,True,False,True,False,36.296863,127.595223,400000
0,10,경부선,0437318097,충북 옥천군 옥천읍 매화리(옥천동이로) 옥천동이로 242-34,32,옥천(서울)휴게소,옥천(서울),True,,True,True,False,True,False,36.297616,127.598777,400000
1,10,경부선,043-732-0081,충북 옥천군 옥천읍 중앙로 135,404,옥천만남휴게소,옥천만남,False,,True,False,False,False,False,36.308718,127.572308,400000
0,10,경부선,0415887868,충청남도 천안시 서북구 입장면 연곡길 407,11,입장거봉포도(서울)휴게소,입장거봉포도(서울),True,,True,True,False,False,False,36.942997,127.192467,400000
1,10,경부선,0432690850,충북 청주시 서원구 현도면 경부고속도로  289,26,죽암(부산)휴게소,죽암(부산),True,,True,True,False,True,False,36.4868101,127.429261,400000
0,10,경부선,0432608035,충북 청원군 현도면 죽전리 314,24,죽암(서울)휴게소,죽암(서울),True,,True,True,False,True,True,36.496775,127.4306501,400000
0,10,경부선,0312623168,경기 용인시 죽전2동 866-2,3,죽전(서울)휴게소,죽전(서울),True,,True,True,False,True,False,37.332371,127.104795,200000
1,10,경부선,00000000000,경기 화성시 동탄면 산척리,410,중소기업청휴게소,중소기업청,False,,False,False,False,False,False,,,200000
0,10,경부선,0415512480,충남 천안시 구성동 171,15,천안삼거리(서울)휴게소,천안삼거리(서울),True,,True,True,True,False,False,36.787809,127.173455,400000
1,10,경부선,0415524560,충남 천안시 수신면 신풍리 447-3,17,천안호두(부산)휴게소,천안호두(부산),True,,True,True,False,False,False,36.730226,127.263879,400000
0,10,경부선,0432371700,충북 청원군 옥산면 장남리 284-16,19,청주(서울)휴게소,청주(서울),True,,True,True,False,True,False,36.716005,127.349315,400000
1,10,경부선,0544302000,경북 김천시 봉산면 광천리 691,40,추풍령(부산)휴게소,추풍령(부산),True,1.0,False,True,False,True,False,36.200356,128.000331,600000
0,10,경부선,0544393187,경북 김천시 봉산면 광천리 737-1,42,추풍령(서울)휴게소,추풍령(서울),True,1.0,False,True,False,True,False,36.199708,128.003242,600000
1,10,경부선,0549752277,경북 칠곡군 왜관읍 아곡리(경부고속도로) 159,44,칠곡(부산)휴게소,칠곡(부산),True,1.0,True,True,False,True,False,36.019795,128.428517,600000
0,10,경부선,0549751883,경북 칠곡군 왜관읍 아곡리 138,46,칠곡(서울)휴게소,칠곡(서울),True,1.0,True,True,False,True,False,36.012005,128.4308001,600000
0,10,경부선,025287578,서울 강남구 삼성동 BGF리테일 테스트,542,테스트휴게소,테스트,False,,False,False,False,False,False,,,200000
1,10,경부선,0553836145,경남 양산시 하북면 순지리(경부고속도로) 31-1,372,통도사(부산)휴게소,통도사(부산),True,,True,True,False,True,False,35.488841,129.090775,700000
1,10,경부선,0538528651,경북 경산시 진량읍 경부고속도로105,50,평사(부산)휴게소,평사(부산),True,1.0,True,True,False,True,False,35.885522,128.867541,600000
1,10,경부선,0437425805,충북 영동군 황간면 회포리 103-2,36,황간(부산)휴게소,황간(부산),True,1.0,True,True,False,True,False,36.248899,127.8526701,400000
0,10,경부선,0437427633,충북 영동군 황간면 회포리 114,38,황간(서울)휴게소,황간(서울),True,,True,True,False,True,False,36.249437,127.854835,400000
1,2530,고창담양선,00000000000,전남 장성군 장성읍 안평리 산26-3,568,장성물류졸음쉼터(고창),장성물류졸음쉼터(고창),False,,False,False,False,False,False,,,500000
0,2530,고창담양선,00000000000,전남 장성군 장성읍 안평리 산26-3,567,장성물류졸음쉼터(담양),장성물류졸음쉼터(담양),False,,False,False,False,False,False,,,500000
1,122,광주대구선,0636534033,전북 순창군 순창읍 광주대구고속도로 27,436,강천산(광주)휴게소,강천산(광주),True,,True,True,False,True,False,35.3657501,127.105451,500000
0,122,광주대구선,0636533050,전라북도 순창군 순창읍 88올림픽고속도로 22 (백산리 927-1),418,강천산(대구)휴게소,강천산(대구),True,,True,True,False,True,False,35.364369,127.104757,500000
1,122,광주대구선,0559430992,경남 거창군 가조면 도리(가조가야로),84,거창(광주)휴게소,거창(광주),True,,True,True,False,True,False,35.708862,128.057962,600000
0,122,광주대구선,0559430992,경남 거창군 가조면 도리 산181,83,거창(대구)휴게소,거창(대구),True,1.0,True,True,False,True,False,35.706469,128.056945,600000
1,122,광주대구선,0636354034,전북 남원시 화정동 88올림픽고속도로 47,439,남원(광주)휴게소,남원(광주),False,,False,False,False,False,False,,,500000
0,122,광주대구선,0636364034,전북 남원시 주생면 내동리 산30-4,305,남원(대구)휴게소,남원(대구),False,,False,False,False,False,False,,,500000
1,122,광주대구선,07043040600,대구 달성군 논공읍 88올림픽고속도로 175,447,논공(광주)휴게소,논공(광주),True,1.0,True,True,False,True,False,35.767421,128.403493,600000
0,122,광주대구선,,대구 달성군 논공읍 88올림픽고속도로 176,446,논공(대구)휴게소,논공(대구),True,1.0,True,True,False,True,False,35.764989,128.402909,600000
1,122,광주대구선,0559638411,경남 함양군 수동면 우명하교로 174,444,산삼골(광주)휴게소,산삼골(광주),False,,False,False,False,False,False,,,600000
0,122,광주대구선,0559638411,경남 함양군 수동면 산업단지길 209,445,산삼골(대구)휴게소,산삼골(대구),False,,False,False,False,False,False,,,600000
1,122,광주대구선,0636367195,전북 남원시 아영면 아곡리 79-1,88,지리산(광주)휴게소,지리산(광주),True,,True,True,False,False,False,35.483942,127.567106,500000
0,122,광주대구선,0636367191,전북 남원시 아영면 아곡리 산83,87,지리산(대구)휴게소,지리산(대구),True,2.0,True,True,False,True,False,35.481353,127.566804,500000
0,120,"광주대구선,무안광주선",0630000000,전북 남원시 화정동 88올림픽고속도로 48,438,남원(대구)간이휴게소,남원(대구)간이,False,,False,False,False,False,False,,,500000
1,120,"광주대구선,무안광주선",0536119560,대구광역시 달성군 논공읍 삼리리 458-5,81,논공(광주)휴게소,논공(광주),True,1.0,True,True,False,True,False,35.767421,128.403493,600000
0,120,"광주대구선,무안광주선",0536113633,대구 달성군 논공읍 삼리 462-1,399,논공(대구)휴게소,논공(대구),True,1.0,True,True,False,True,False,35.764989,128.402909,600000
1,120,"광주대구선,무안광주선",0559637709,경남 함양군 수동면 죽산리 산98-9,86,죽산(고서)휴게소,죽산(고서),False,,False,False,False,False,False,,,600000
0,100,남해선,00000000000,경상남도 사천시 곤양면 맥사리 165-7,540,곤양(순천)졸음쉼터,곤양(순천)졸음쉼터,False,,False,False,False,False,False,,,700000
0,100,남해선,0557612820,경남 진주시 문산읍 소문리 968-2,71,문산(순천)휴게소,문산(순천),True,1.0,True,True,False,True,False,35.171374,128.151591,700000
1,100,남해선,07043258808,전남 보성군 겸백면 수남리 385-3,400,보성녹차(순천)휴게소,보성녹차(순천),True,,True,True,False,False,False,34.807313,127.181003,500000
0,100,남해선,07043258804,전남 보성군 미력면 화방리 산 196-7,401,보성녹차(영암)휴게소,보성녹차(영암),True,,True,True,False,False,False,34.807313,127.181003,500000
1,100,남해선,0558543134,경남 사천시 곤양면 묵곡리(서삼로) 619번길,73,사천(부산)휴게소,사천(부산),True,1.0,True,True,False,True,False,35.073173,128.010802,700000
0,100,남해선,0558543547,경남 사천시 곤양면 묵곡리 산171-31,74,사천(순천)휴게소,사천(순천),True,1.0,True,True,False,True,False,35.074968,128.012589,700000
1,100,남해선,0617727986,전남 광양시 진월면 신아리 1192-1,77,섬진강(부산)휴게소,섬진강(부산),True,1.0,True,True,False,True,False,34.9847001,127.770697,500000
0,100,남해선,0617727993,전남 광양시 진월면 신아리 1192-1,78,섬진강(순천)휴게소,섬진강(순천),True,,True,True,False,True,False,34.985669,127.769329,500000
